"month","year","winery","wine_name","style","vintage","wine_type","primary_varietal_blend","varietal_list","rating","region","sub_region","sub_sub_region","estimated_price","natural?","","","","","","","","","","","","","","","","",""
"april","2019","Jessie's Grove","Jessie's Grove Royal Tee zinfandel","red","2014","","zinfandel","zinfandel","5","california","lodi","","","","","","","","","","","","","","","","","","","",""
"august","2019","Grgich Hills","Yountville Old Vine 60 year","red","2014","","cabernet sauvignon","cabernet sauvignon","5","california","napa","","","","","","","","","","","","","","","","","","","",""
"august","2019","Grgich Hills","Rutherford Milienko's Selection","red","2015","","cabernet sauvignon","bordeaux blend","5","california","napa","","","","","","","","","","","","","","","","","","","",""
"august","2019","Colene Clemens","Max","red","2015","willamette pinot noir","pinot noir","pinot noir","5","oregon","willamette","chehalem mountains","","","","","","","","","","","","","","","","","","",""
"february","2019","","La Spinetta Campe Barolo","red","2006","barolo","nebbiolo","nebbiolo","5","italy","piedmont","barolo","230","","","","","","","","","","","","","","","","","",""
"january","2019","","Grgich Hills 40th Anniversary Old Vine","red","2012","","cabernet sauvignon","cabernet sauvignon","5","california","napa valley","","180","","","","","","","","","","","","","","","","","",""
"november","2018","","La Rioja Alta Vina Alberdi","red","2011","rioja tempranillo","tempranillo","tempranillo","5","spain","rioja","","12","","","","","","","","","","","","","","","","","",""
"october","2018","","Damilano Barolo Lecinquevigne","red","2013","langhe nebbiolo","nebbiolo","nebbiolo","5","italy","piedmont","barolo","80","","","","","","","","","","","","","","","","","",""
"october","2018","","Paolo Scavino 2014 Bricco Ambrogio","red","2014","langhe nebbiolo","nebbiolo","nebbiolo","5","italy","piedmont","barolo","120","","","","","","","","","","","","","","","","","",""
"october","2018","","Damilano Barolo Cannubi","red","2013","langhe nebbiolo","nebbiolo","nebbiolo","5","italy","piedmont","barolo","90","","","","","","","","","","","","","","","","","",""
"october","2018","","Altesino Brunello Riserva","red","2012","brunello di montalcino","sangiovese","sangiovese","5","italy","tuscany","montalcino","150","","","","","","","","","","","","","","","","","",""
"september","2018","","Il Borro Polissena Toscana Rosso","red","2015","not in database","sangiovese","sangiovese","5","italy","tuscany","","50","","","","","","","","","","","","","","","","","",""
"june","2019","Ridge Vineyards","Chardonnay","white","2017","","chardonnay","chardonnay","4.5","california","santa cruz mountains","","","","","","","","","","","","","","","","","","","",""
"march","2019","","Thumbprint Cellars Cab Franc","red","2014","","cabernet franc","cabernet franc","4","california","russain river valley","","","","","","","","","","","","","","","","","","","",""
"april","2019","Lapis Luna","Cabernet Sauvignon","red","2016","","cabernet sauvignon","cabernet sauvignon","4","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Stag's Leap","Stag's Leap SLV","red","2015","","cabernet sauvignon","cabernet sauvignon","4","california","napa","","","","","","","","","","","","","","","","","","","",""
"april","2019","","Hook or Crook Chardonnay","white","2016","","chardonnay","chardonnay","4","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","Riaza Wines","Double Barrel","red","2015","","garnacha","garnacha, syrah, malbec","4","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","","Domaine de Poulvarel","red","2014","","grenache","grenache, syrah, mourvedre","4","france","southern rhone","","10","","","","","","","","","","","","","","","","","",""
"april","2019","Revelry Vintners","Revelry Merlot","red","2016","","merlot","merlot","4","washington","columbia valley","","","","","","","","","","","","","","","","","","","",""
"april","2019","LangeTwins Winery","Centennial","red","2011","","zinfandel","zinfandel","4","california","lodi","","","","","","","","","","","","","","","","","","","",""
"april","2019","The Prisoner Wine Company","The Prisoner","red","2017","","zinfandel","zinfandel, cabernet sauvignon, petite sirah, syrah, charbono","4","california","napa","","","","","","","","","","","","","","","","","","","",""
"august","2019","Clos du Val","Hirondelle vineyard","red","2016","","cabernet franc","cabernet franc","4","california","napa","stags leap district","","","","","","","","","","","","","","","","","","",""
"august","2019","Stag's Leap Wine Cellars","Artemis","red","2016","","cabernet sauvignon","cabernet sauvignon","4","california","napa","stags leap district","","","","","","","","","","","","","","","","","","",""
"august","2019","Stag's Leap Wine Cellars","Cask 23","red","2016","","cabernet sauvignon","cabernet sauvignon","4","california","napa","stags leap district","","","","","","","","","","","","","","","","","","",""
"august","2019","Stag's Leap Wine Cellars","Fay hillside","red","2013","","cabernet sauvignon","cabernet sauvignon","4","california","napa","stags leap district","","","","","","","","","","","","","","","","","","",""
